"PotID","Treatment","Line.x","Chamber","Flat","BoltingDate","HarvestDate","SingleLeaf_FreshWt.g.","TotalLeafNumber","RosetteLeafNumber","UnderLeavesNumber","LongestRootLength_cm","SingleLeafHydratedWt.g.","RootHarvestDate","Notes.x","LeafNumber_6.6.2022","LeafNumber_6.13.2022","AG_DryBiomass.g.","BG_DryBiomass.g.","SingleLeafDryWt.g.","Notes.","Label","Area","Perim.","Population","Line.y","Replicate","Emergence.Date","Leaf.Number.PreVern..post.transplant","transplanted","transplant_notes","Number.Emerged","Notes.y","Stom_avg","Emergence","Bolting","Harvest","RootHarvest","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest"
"B1-1-C","Current",1,1,"Current1","6/21/2022","6/21/2022",0.0357,46,NA,NA,16,0.0422,"6/22/2022","",23,28,0.1591,0.0208,0.0049,"","B1-1-C_06212022.jpeg",1.905,6.858,"B",1,"1","4/15/2022",10,"no","no",2,"",30,4,71,71,72,67,1,0
"B1-1-F","Future",1,1,"Future1","6/19/2022","6/19/2022",0.0354,38,NA,NA,17.1,0.0448,"6/20/2022","",18,26,0.0983,0.0143,0.0047,"6/13= has new leaf growing underneath to the back when looking top to bottom ","B1-1-F_06192022.jpeg",1.941,6.62,"B",1,"1","4/14/2022",8,"no","no",1,"",35.5,3,69,69,70,66,1,0
"B1-2-C","Current",1,1,"Current1","6/20/2022","6/20/2022",0.0435,49,NA,NA,17.9,0.0515,"6/21/2022","SB harvested root ",27,32,0.1557,0.0188,0.0053,"","B1-2-C_06202022-1.jpeg",2.537,7.803,"B",1,"2","4/16/2022",10,"no","to B2-3-C",3,"",32,5,70,70,71,65,1,0
"B1-2-F","Future",1,1,"Future1","6/15/2022","6/16/2022",0.0441,49,NA,NA,16.9,0.0578,"6/16/2022","",28,40,0.1893,0.024,0.0066,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B1-2-F_06162022 -1.jpeg",2.359,7.971,"B",1,"2","4/14/2022",12,"no","no",2,"",27.5,3,65,66,66,62,1,1
"B1-3-C","Current",1,2,"Current3","6/21/2022","6/21/2022",0.0678,55,NA,NA,15.3,0.079,"6/22/2022","",25,30,0.2523,0.0338,0.008,"6/13= has new leaves around bottom at several locations underneath ","B1-3-C_06212022.jpeg",3.033,9.764,"B",1,"3","4/15/2022",11,"no","to B2-1-C",3,"",31,4,71,71,72,67,1,0
"B1-3-F","Future",1,2,"Future4","6/17/2022","6/17/2022",0.0478,42,NA,NA,16.4,0.058,"6/17/2022","",22,37,0.1079,0.0145,0.0058,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B1-3-F_06172022.jpeg",2.557,7.85,"B",1,"3","4/15/2022",11,"no","no",3,"",33,4,67,67,67,63,0,0
"B1-4-C","Current",1,2,"Current4","6/21/2022","6/21/2022",0.0759,46,NA,NA,16.4,0.0861,"6/22/2022","",23,28,0.1796,0.0235,0.0092,"","B1-4-C_06212022.jpeg",3.2,8.951,"B",1,"4","4/15/2022",10,"no","no",3,"",24,4,71,71,72,67,1,0
"B1-4-F","Future",1,2,"Future3","6/19/2022","6/19/2022",0.0525,49,NA,NA,16.9,0.0681,"6/20/2022","",22,34,0.1586,0.0211,0.0067,"6/13= only one new liittle leaf at bottom ","B1-4-F_06192022.jpeg",2.871,9.001,"B",1,"4","4/15/2022",11,"no","to B2-1-F (now B1-5-F)",2,"",39.5,4,69,69,70,65,1,0
"B1-5-C","Current",1,1,"Current2","6/22/2022","6/22/2022",0.0419,50,NA,NA,16.2,0.0506,"6/27/2022","",25,28,0.2295,0.0281,0.0053,"","B1-5-C_06222022.jpeg",2.192,7.878,"B",1,"5","",11,"yes","yes; from B1-3-C",NA,"",28,NA,72,72,77,NA,5,0
"B1-5-F","Future",1,1,"Future2","6/17/2022","6/17/2022",0.0458,53,NA,NA,16.4,0.0577,"6/17/2022","",26,47,0.1887,0.0228,0.0061,"","B1-5-F_06172022.jpeg",2.509,8.213,"B",1,"5","",11,"yes","from B1-4-F",NA,"",33,NA,67,67,67,NA,0,0
"B1-6-C","Current",1,2,"Current3","6/22/2022","6/22/2022",0.0366,43,NA,NA,16.2,0.0443,"6/27/2022","",22,26,0.2019,0.0262,0.0046,"","B1-6-C_06222022.jpeg",1.965,7.107,"B",1,"6","",10,"yes","yes; from B1-2-C",NA,"",32.5,NA,72,72,77,NA,5,0
"B12-1-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",12,"1","4/21/2022",NA,"yes","yes; from B13-4-F",1,"looks dead 5/3; changed geno",NA,10,NA,NA,NA,NA,NA,NA
"B12-1-F","Future",12,1,"Future2","6/19/2022","6/19/2022",0.0302,40,NA,NA,17.3,0.0377,"6/21/2022","SB harvested root, lost some roots (~ 1 inch at end) ",21,28,0.1167,0.0212,0.0045,"6/13= has new leaf growing underneath to the left when looking top to bottom ","B12-1-F_06192022.jpeg",1.872,6.82,"B",12,"1","4/17/2022",8,"no","no",2,"(second looks dried)",28,6,69,69,71,63,2,0
"B12-2-C","Current",12,1,"Current1","6/23/2022","6/23/2022",0.0283,31,NA,NA,15.2,0.0343,"6/28/2022","",17,19,0.1162,0.0176,0.0032,"","B12-2-C_06232022.jpeg",1.477,5.525,"B",12,"2","4/20/2022",7,"no","no",1,"",33,9,73,73,78,64,5,0
"B12-2-F","Future",12,1,"Future1","6/19/2022","6/19/2022",0.0303,49,NA,NA,14.7,0.0381,"6/21/2022","",22,32,0.1124,0.0178,0.0041,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B12-2-F_06192022.jpeg",1.8,6.607,"B",12,"2","4/18/2022",9,"yes","yes; from B12-4-F",1,"looks dead 4/27",34,7,69,69,71,62,2,0
"B12-3-C","Current",12,2,"Current4","6/19/2022","6/19/2022",0.0228,42,NA,NA,18.4,0.0269,"6/21/2022","SB harvested root ",22,25,0.0727,0.0106,0.003,"","B12-3-C_06192022.jpeg",1.401,5.645,"B",12,"3","4/18/2022",8,"no","no",1,"",34,7,69,69,71,62,2,0
"B12-3-F","Future",12,2,"Future3","6/22/2022","6/22/2022",0.0254,35,NA,NA,14.5,0.034,"6/23/2022","",19,27,0.1025,0.0178,0.0042,"","B12-3-F_06222022.jpeg",1.441,5.852,"B",12,"3","4/20/2022",6,"no","no",1,"",39,9,72,72,73,63,1,0
"B12-4-C","Current",12,2,"Current3","6/28/2022","6/28/2022",0.0121,28,NA,NA,16.3,0.0133,"7/5/2022","",14,14,0.0635,0.0111,0.002,"","B12-4-C_06282022.jpeg",0.646,3.694,"B",12,"4","4/18/2022",6,"no","no",1,"",30.5,7,78,78,85,71,7,0
"B12-4-F","Future",12,2,"Future3","6/19/2022","6/19/2022",0.0342,49,NA,NA,14.6,0.0419,"6/21/2022","SB harvested root",20,29,0.106,0.0187,0.0042,"","B12-4-F_06192022.jpeg",1.883,7.206,"B",12,"4","4/16/2022",9,"no","to B12-2-F",2,"",26,5,69,69,71,64,2,0
"B13-1-C","Current",13,1,"Current2","6/27/2022","6/27/2022",0.0559,31,NA,NA,17.7,0.0641,"6/30/2022","",17,19,0.1207,0.0254,0.0062,"","B13-1-C_06272022.jpeg",2.534,7.616,"B",13,"1","4/18/2022",7,"yes","yes form B13-2-C",1,"looks empty 4/29",37.5,7,77,77,80,70,3,0
"B13-1-F","Future",13,1,"Future2","6/20/2022","6/20/2022",0.0614,59,NA,NA,14.5,0.0796,"6/21/2022","SB harvested root",21,31,0.1428,0.0285,0.0078,"6/13= has new leaf forming underneath on the centeer and left when looking top to bottom ","B13-1-F_06202022.jpeg",3.292,9.375,"B",13,"1","4/19/2022",9,"yes","yes; from B13-3-C",1,"looks dead 5/3",37.5,8,70,70,71,62,1,0
"B13-2-C","Current",13,1,"Current2","6/23/2022","6/23/2022",0.0549,42,NA,NA,18,0.0674,"6/28/2022","",21,28,0.1971,0.0279,0.0058,"6/13- Has new little leaf growing underneath to the right when looking top to bottom ","B13-2-C_06232022.jpeg",2.755,8.813,"B",13,"2","4/17/2022",9,"no","to B13-4-C and B13-1-C",5,"left 2 in case 1 dies -> down to 1 on 5/24",35,6,73,73,78,67,5,0
"B13-2-F","Future",13,1,"Future1","6/21/2022","6/21/2022",0.0498,51,NA,NA,14.5,0.0648,"6/22/2022","",22,40,0.1995,0.0381,0.008,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B13-2-F_06212022.jpeg",2.707,8.708,"B",13,"2","4/15/2022",10,"no","no",2,"",43,4,71,71,72,67,1,0
"B13-3-C","Current",13,2,"Current4","6/26/2022","6/27/2022",0.0809,51,NA,NA,15.9,0.0921,"7/6/2022","",21,25,0.4099,0.0602,0.0089,"","B13-3-C_06272022.jpeg",3.492,9.632,"B",13,"3","4/15/2022",8,"no","to B13-1-F",5,"",36.5,4,76,77,86,72,10,1
"B13-3-F","Future",13,2,"Future3","6/22/2022","6/22/2022",0.0386,37,NA,NA,NA,0.0504,NA,"Harvested but root length not recorded. ",17,24,0.1384,0.0238,0.0056,"","B13-3-F_06222022.jpeg",2.089,7.405,"B",13,"3",NA,7,"no","no",4,"Emerged date was for the rogue capsella. The rogue capsella was transplanted to a new pot. ",35.5,NA,72,72,NA,NA,NA,0
"B13-4-C","Current",13,2,"Current3","6/28/2022","6/28/2022",0.0582,48,NA,NA,16.2,0.0668,"7/5/2022","",18,21,0.2373,0.0429,0.0072,"","B13-4-C_06282022.jpeg",2.448,8.243,"B",13,"4","4/21/2022",6,"yes","yes from B13-2-C",1,"looks empty 5/3",36.5,10,78,78,85,68,7,0
"B13-4-F","Future",13,2,"Future4","6/21/2022","6/21/2022",0.0442,45,NA,NA,14.5,0.059,"6/22/2022","",23,34,0.2021,0.0385,0.0077,"6/13= a few small leaves around bottom underneath ","B13-4-F_06212022.jpeg",2.307,7.685,"B",13,"4","4/16/2022",12,"no","to B12-1-C",5,"",35.5,5,71,71,72,66,1,0
"B13-5-C","Current",13,1,"Current2","6/27/2022","6/27/2022",0.0534,49,NA,NA,16.7,0.0637,"6/30/2022","",21,25,0.2408,0.0398,0.0067,"","B13-5-C_06272022.jpeg",2.597,8.056,"B",13,"5","",8,"yes","yes; from B13-4-F",NA,"",39,NA,77,77,80,NA,3,0
"B15-1-C","Current",15,1,"Current1","6/22/2022","6/22/2022",0.0671,60,NA,NA,18.8,0.0772,"6/27/2022","Had small extra shoot (B15-1-C (E))in pot (10 leaves)",25,33,0.3625,0.0482,0.0078,"6/13- new little leaves growing from multiple spots underneath bigger leaves from center","B15-1-C_06222022.jpeg",3.279,9.503,"B",15,"1","4/16/2022",10,"no","to B2-4-F",3,"",36.5,5,72,72,77,67,5,0
